innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Rajasthan Royals,12,6,V Suryavanshi,JO Holder,JC Archer,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,13,1,V Suryavanshi,M Prasidh Krishna,JC Archer,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,13,2,V Suryavanshi,M Prasidh Krishna,JC Archer,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,13,3,JC Archer,M Prasidh Krishna,V Suryavanshi,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,13,4,JC Archer,M Prasidh Krishna,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,True,caught,JC Archer,JC Buttler,middle
1,Rajasthan Royals,13,5,RA Jadeja,M Prasidh Krishna,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,13,6,V Suryavanshi,M Prasidh Krishna,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,14,1,V Suryavanshi,K Rabada,RA Jadeja,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,14,2,V Suryavanshi,K Rabada,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,14,3,RA Jadeja,K Rabada,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,14,4,V Suryavanshi,K Rabada,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,14,5,RA Jadeja,K Rabada,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,14,6,RA Jadeja,K Rabada,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,15,1,V Suryavanshi,Mohammed Siraj,RA Jadeja,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,15,2,V Suryavanshi,Mohammed Siraj,RA Jadeja,2,0,2,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,15,3,V Suryavanshi,Mohammed Siraj,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,15,4,RA Jadeja,Mohammed Siraj,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
